Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume
Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
A|346753|734|738611|B,Q,N
AA|566582|400|1241728|B,Q,N
AAA|626|0|4843|Q
AAAU|319708|0|765288|B,Q,N
AACG|11683|0|24192|B,Q,N
AACT|164|0|12718|Q
AACT/WS|300|0|4325|Q
AADI|4111|0|9211|Q,N
AADR|329|0|333|Q
AAL|4907368|69548|11965508|B,Q,N
AAM|3|0|4|Q
AAME|217|0|224|Q
AAOI|384537|408|804768|B,Q,N
AAON|33848|45|103099|B,Q,N
AAP|691565|2471|1201420|B,Q,N
AAPB|16072|1000|47400|Q
AAPD|110561|29|155150|B,Q,N
AAPL|5555422|44405|15240875|B,Q,N
AAPR|2000|0|13018|Q
AAPU|27027|1414|104397|B,Q,N
AAPX|342|0|7999|Q,N
AAPY|2035|0|2303|Q
AAT|26484|0|56834|Q,N
AAXJ|253239|2341|469932|B,Q,N
AB|41618|115|143135|Q,N
ABAT|99820|95|273012|Q,N
ABBV|374772|6161|1115819|B,Q,N
ABCB|20578|167|50149|Q,N
ABCL|763930|14181|2132604|B,Q,N
ABCS|101|0|1302|Q
ABEO|68283|0|156593|Q,N
ABEQ|1230|0|3442|Q
ABEV|5236581|16493|8626340|B,Q,N
ABG|37521|0|97031|B,Q,N
ABL|4539|0|8293|Q,N
ABLLL|654|0|659|Q
ABLLW|112|0|1412|Q
ABLV|11|0|353|Q
ABM|47154|0|68409|Q,N
ABNB|521970|1325|894326|B,Q,N
ABNY|3011|0|7168|Q,N
ABOS|61889|8590|107030|B,Q,N
ABR|787834|3872|1238144|B,Q,N
ABRpD|1962|0|5254|Q
ABRpE|1026|362|1394|Q
ABRpF|11230|1500|15357|Q
ABSI|124873|839|291044|B,Q,N
ABT|870186|80853|1828417|B,Q,N
ABTS|8123|0|24630|Q,N
ABUS|122227|0|341626|B,Q,N
ABVC|57772|0|98798|Q,N
ABVE|9468|0|36262|Q,N
ABVX|6523|0|9517|B,Q,N
AC|1247|0|2555|Q,N
ACA|51386|0|99480|Q,N
ACAB|201|0|301|Q
ACAD|194484|139|502611|B,Q,N
ACB|374461|6648|753128|B,Q,N
ACCD|80143|9587|373533|B,Q,N
ACCO|139970|2743|353830|Q,N
ACDC|157319|0|277634|B,Q,N
ACEL|22460|2422|53642|Q,N
ACES|1562|36|7043|Q,N
ACET|128280|1452|257848|Q,N
ACGL|261574|0|872561|B,Q,N
ACGLN|10185|0|16354|Q,N
ACGLO|5680|0|15837|Q
ACHC|247238|492|855648|B,Q,N
ACHL|16379|1500|26319|Q,N
ACHR|2506485|18862|4765883|B,Q,N
ACHR/WS|15173|700|50599|Q
ACHV|15177|214|27016|Q,N
ACI|370087|410|934313|B,Q,N
ACIC|11537|0|40880|Q
ACIO|96044|0|152176|Q,N
ACIU|13261|0|25352|Q,N
ACIW|45328|41|132647|Q,N
ACLS|115835|245|178538|B,Q,N
ACLX|107247|294|275320|B,Q,N
ACM|98213|156|146565|Q,N
ACMR|128350|1574|265263|B,Q,N
ACN|196479|74|548316|B,Q,N
ACNB|770|0|1919|B,Q
ACNT|2510|0|16603|B,Q
ACON|85077|27|217118|B,Q,N
ACONW|700|0|4500|Q
ACP|186491|0|614071|B,Q,N
ACPpA|764|0|965|Q
ACR|3907|0|12699|B,Q,N
ACRE|111356|761|273405|B,Q,N
ACRpC|5734|0|9265|Q,N
ACRpD|14|0|1133|Q
ACRS|352422|4206|1318216|Q,N
ACRV|4372|20|9201|B,Q,N
ACSI|6|0|8|Q
ACT|52372|0|113439|B,Q,N
ACTG|62343|0|152420|Q,N
ACTU|7495|211|16183|B,Q
ACTV|2399|0|2534|Q
ACU|4599|100|8933|B,Q,N
ACV|5878|0|23773|Q,N
ACVA|123266|0|369282|Q,N
ACVF|5931|0|6477|Q,N
ACWI|184546|2618|417209|B,Q,N
ACWV|16317|0|64178|Q
ACWX|82502|0|282407|B,Q,N
ACXP|20314|0|41486|Q,N
ADAG|3109|0|5898|Q,N
ADAP|247625|0|567757|Q,N
ADBE|190263|121|631883|B,Q,N
ADC|168842|388|343613|B,Q,N
ADCpA|653|0|4114|Q,N
ADCT|34646|44|93542|Q,N
ADD|518150|56|942657|Q,N
ADEA|24198|53|66244|Q,N
ADFI|10744|0|17090|Q
ADGM|430|0|567|Q,N
ADI|267878|40|575487|B,Q,N
ADIL|8196|0|16989|Q
ADIV|142|0|628|Q
ADM|470105|1610|778329|B,Q,N
ADMA|665420|3517|1807876|B,Q,N
ADME|9064|337|20281|Q
ADN|16216786|1956276|28450086|B,Q,N
ADNT|165675|108|348294|Q,N
ADNWW|61938|7223|130348|Q
ADP|198444|198|437774|B,Q,N
ADPT|143413|10769|412503|Q,N
ADPV|938|23|1951|Q
ADSE|7001|0|13554|B,Q,N
ADSK|144068|0|417907|B,Q,N
ADT|1597104|10265|2931497|B,Q,N
ADTN|36128|0|111094|Q,N
ADTX|363253|570|813293|B,Q,N
ADUS|31744|0|106382|Q,N
ADV|42301|15|83758|B,Q,N
ADVE|1|0|3|Q
ADVM|9417|0|35464|B,Q,N
ADX|55996|452|156566|B,Q,N
ADXN|13561|0|29203|Q,N
AE|390|0|836|Q,N
AEE|302448|178|498375|B,Q,N
AEF|7953|0|24699|Q,N
AEFC|2741|0|7575|Q,N
AEG|1307755|4692|2237035|B,Q,N
AEHL|313666|85509|570281|Q,N
AEHR|315145|15237|543480|B,Q,N
AEI|2033|21|16783|Q
AEIS|37385|12251|138473|B,Q,N
AEM|302554|45|488216|B,Q,N
AEMD|24382|122|73126|Q,N
AENT|17585|6594|47750|Q,N
AENTW|30351|51|31552|Q
AEO|674847|952|1508625|Q,N
AEON|3996|746|7615|Q,N
AEP|466839|6|1614002|B,Q,N
AER|132379|1|356217|B,Q,N
AERT|3840|0|7284|Q,N
AES|3044407|38987|6306257|B,Q,N
AESI|212526|1542|545681|B,Q,N
AESR|10207|87|20032|Q,N
AETH|3871|0|5205|Q,N
AEVA|65083|1562|94888|B,Q,N
AEVA/WS|100|0|100|Q
AEYE|33916|165|52227|B,Q,N
AFB|6801|0|24805|Q
AFBI|364|0|1776|Q
AFCG|11767|25|47975|Q,N
AFG|57512|0|77410|B,Q,N
AFGB|1421|0|2443|Q
AFGC|1500|0|2144|Q
AFGD|1803|24|2835|Q,N
AFGE|723|0|1126|Q
AFIF|208|0|13415|Q
AFJKR|130|0|130|Q
AFK|20|12|3818|Q
AFL|319301|607|744970|B,Q,N
AFLG|2789|0|13264|Q,N
AFMC|131|0|454|Q
AFMD|7026|0|20088|B,Q,N
AFRI|1884|0|5040|Q
AFRM|1517750|6044|3096762|B,Q,N
AFSM|3059|0|3139|Q
AFYA|21001|0|31114|Q,N
AG|1133276|13764|3930273|B,Q,N
AGAE|26005|1765|53577|Q,N
AGCO|268986|0|349411|B,Q,N
AGD|9987|0|32185|Q,N
AGEN|48497|492|159403|Q,N
AGFY|2244|290|3765|Q
AGG|1594440|15505|2900110|B,Q,N
AGGH|18561|0|37462|Q
AGGY|20667|0|37817|Q,N
AGI|220715|977|532133|B,Q,N
AGIH|1|0|1|Q
AGIO|61805|8|161372|B,Q,N
