Date,Symbol,Name,Bought,%Avg,Sold,Buy Ratio,Total,Dark Pools
20241108,IGV,iShares Expand Tech-STW Sect,1481955,30.0,3457895.0,0.43,4939850.0,15.0
20241108,JBLU,JetBlue Airways Corp,698113,3.2,20848588.0,0.03,21546701.0,15.0
20241108,PLTR,Palantir Technologies Inc,1039480,1.3,81458973.0,0.01,82498453.0,15.0
20241108,QQQ,QQQQ Trust Nasdaq 100,6727398,30.0,15697264.0,0.43,22424662.0,15.0
20241108,SPY,SPDR S&P500 ETF,11702568,30.0,27305993.0,0.43,39008561.0,15.0
20241108,TSLA,Tesla Inc,1977434,1.0,199801555.0,0.01,201778989.0,15.0
20241108,USHY,iShares US High Yld Corp,3947479,30.0,9210785.0,0.43,13158264.0,15.0
20241108,VOO,Vanguard S&P 500,2036869,30.0,4752695.0,0.43,6789564.0,15.0
20241108,XLE,Energy Select SPDR Fund,3300357,30.0,7700835.0,0.43,11001192.0,15.0
20241108,XLF,SPDR Financial Select Sector,17511780,30.0,40860822.0,0.43,58372602.0,15.0
20241108,XLV,Health Care Select SPDR Fund,2609802,30.0,6089539.0,0.43,8699341.0,15.0
20241107,IGV,iShares Expand Tech-STW Sect,1661010,30.0,3875690.0,0.43,5536700.0,15.0
20241107,JBLU,JetBlue Airways Corp,401957,3.2,12004143.0,0.03,12406100.0,15.0
20241107,PLTR,Palantir Technologies Inc,1529037,1.3,119823163.0,0.01,121352200.0,15.0
20241107,QQQ,QQQQ Trust Nasdaq 100,9828480,30.0,22933120.0,0.43,32761600.0,15.0
20241107,SPY,SPDR S&P500 ETF,14137530,30.0,32987570.0,0.43,47125100.0,15.0
20241107,TSLA,Tesla Inc,1145336,1.0,115725764.0,0.01,116871100.0,15.0
20241107,USHY,iShares US High Yld Corp,5097900,30.0,11895100.0,0.43,16993000.0,15.0
20241107,VOO,Vanguard S&P 500,1813020,30.0,4230380.0,0.43,6043400.0,15.0
20241107,XLE,Energy Select SPDR Fund,3918420,30.0,9142980.0,0.43,13061400.0,15.0
20241107,XLF,SPDR Financial Select Sector,21172980,30.0,49403620.0,0.43,70576600.0,15.0
20241107,XLV,Health Care Select SPDR Fund,2814270,30.0,6566630.0,0.43,9380900.0,15.0
20241106,IGV,iShares Expand Tech-STW Sect,2159940,30.0,5039860.0,0.43,7199800.0,15.0
20241106,JBLU,JetBlue Airways Corp,932718,3.2,27854882.0,0.03,28787600.0,15.0
20241106,PLTR,Palantir Technologies Inc,1439624,1.3,112816276.0,0.01,114255900.0,15.0
20241106,QQQ,QQQQ Trust Nasdaq 100,12924660,30.0,30157540.0,0.43,43082200.0,15.0
20241106,SPY,SPDR S&P500 ETF,20454600,30.0,47727400.0,0.43,68182000.0,15.0
20241106,TSLA,Tesla Inc,1619241,1.0,163609459.0,0.01,165228700.0,15.0
20241106,USHY,iShares US High Yld Corp,5878440,30.0,13716360.0,0.43,19594800.0,15.0
20241106,VOO,Vanguard S&P 500,2244990,30.0,5238310.0,0.43,7483300.0,15.0
20241106,XLE,Energy Select SPDR Fund,7507980,30.0,17518620.0,0.43,25026600.0,15.0
20241106,XLF,SPDR Financial Select Sector,46042020,30.0,107431380.0,0.43,153473400.0,15.0
20241106,XLV,Health Care Select SPDR Fund,3205680,30.0,7479920.0,0.43,10685600.0,15.0
20241105,IGV,iShares Expand Tech-STW Sect,790920,30.0,1845480.0,0.43,2636400.0,15.0
20241105,JBLU,JetBlue Airways Corp,444229,3.2,13266571.0,0.03,13710800.0,15.0
20241105,PLTR,Palantir Technologies Inc,2631739,1.3,206236461.0,0.01,208868200.0,15.0
20241105,QQQ,QQQQ Trust Nasdaq 100,7306080,30.0,17047520.0,0.43,24353600.0,15.0
20241105,SPY,SPDR S&P500 ETF,11843490,30.0,27634810.0,0.43,39478300.0,15.0
20241105,TSLA,Tesla Inc,678968,1.0,68603532.0,0.01,69282500.0,15.0
20241105,USHY,iShares US High Yld Corp,5500860,30.0,12835340.0,0.43,18336200.0,15.0
20241105,VOO,Vanguard S&P 500,990090,30.0,2310210.0,0.43,3300300.0,15.0
20241105,XLE,Energy Select SPDR Fund,3131490,30.0,7306810.0,0.43,10438300.0,15.0
20241105,XLF,SPDR Financial Select Sector,10566540,30.0,24655260.0,0.43,35221800.0,15.0
20241105,XLV,Health Care Select SPDR Fund,1510590,30.0,3524710.0,0.43,5035300.0,15.0
20241104,IGV,iShares Expand Tech-STW Sect,516480,30.0,1205120.0,0.43,1721600.0,15.0
20241104,JBLU,JetBlue Airways Corp,451646,3.2,13488054.0,0.03,13939700.0,15.0
20241104,PLTR,Palantir Technologies Inc,950207,1.3,74463093.0,0.01,75413300.0,15.0
20241104,QQQ,QQQQ Trust Nasdaq 100,6987480,30.0,16304120.0,0.43,23291600.0,15.0
20241104,SPY,SPDR S&P500 ETF,11465100,30.0,26751900.0,0.43,38217000.0,15.0
20241104,TSLA,Tesla Inc,674263,1.0,68128137.0,0.01,68802400.0,15.0
20241104,USHY,iShares US High Yld Corp,2717250,30.0,6340250.0,0.43,9057500.0,15.0
20241104,VOO,Vanguard S&P 500,1104450,30.0,2577050.0,0.43,3681500.0,15.0
20241104,XLE,Energy Select SPDR Fund,3871770,30.0,9034130.0,0.43,12905900.0,15.0
20241104,XLF,SPDR Financial Select Sector,12511680,30.0,29193920.0,0.43,41705600.0,15.0
20241104,XLV,Health Care Select SPDR Fund,1795770,30.0,4190130.0,0.43,5985900.0,15.0
